[Wed Dec 13 16:41:20.032337 2017] [:error] [pid 13627] [client 127.0.0.1:46495] PHP Warning:  cal_days_in_month() expects parameter 2 to be long, string given in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 134
[Wed Dec 13 16:41:20.983051 2017] [:error] [pid 13627] [client 127.0.0.1:46495] PHP Warning:  cal_days_in_month() expects parameter 2 to be long, string given in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 134
[Wed Dec 13 16:42:04.118952 2017] [:error] [pid 5152] [client 127.0.0.1:46673] PHP Warning:  cal_days_in_month() expects parameter 2 to be long, string given in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 126
[Wed Dec 13 16:42:32.819333 2017] [:error] [pid 13627] [client 127.0.0.1:46790] PHP Warning:  cal_days_in_month() expects parameter 2 to be long, string given in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 126
[Wed Dec 13 21:39:38.938826 2017] [:error] [pid 7705] [client 127.0.0.1:45448] PHP Parse error:  syntax error, unexpected '}' in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 134
[Wed Dec 13 21:39:40.950800 2017] [:error] [pid 8604] [client 127.0.0.1:45450] PHP Parse error:  syntax error, unexpected '}' in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 134
[Wed Dec 13 21:46:09.998824 2017] [:error] [pid 9391] [client 127.0.0.1:48772] PHP Warning:  DateTime::diff() expects parameter 1 to be DateTimeInterface, integer given in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 134
[Wed Dec 13 21:46:21.733404 2017] [:error] [pid 9341] [client 127.0.0.1:48882] PHP Warning:  DateTime::diff() expects parameter 1 to be DateTimeInterface, integer given in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 134
[Wed Dec 13 22:07:54.138749 2017] [:error] [pid 9121] [client 127.0.0.1:59446] PHP Notice:  Use of undefined constant month - assumed 'month' in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 134
[Wed Dec 13 22:25:30.147997 2017] [:error] [pid 10086] [client 127.0.0.1:40104] PHP Notice:  A non well formed numeric value encountered in /home/miroslav/projects/booking_system/app/classes/Calendar.php on line 127, referer: http://booking.local/index.php?month=1&day=14
